0,Date
Groep Aantal positief Aantal getest Percentage positief,2020-08-04
Kinderen 0-6 jaar 36 8853 0.4,2020-08-04
Kinderen 7-12 jaar 101 29827 0.3,2020-08-04
Kinderen 13-18 jaar 280 21194 1.3,2020-08-04
Onderwijs- of kinderopvang personeel 186 36856 0.5,2020-08-04
Voor deze personen is geregistreerd dat zij getest zijn in het kader van bron- en contactonderzoek (BCO). Het,2020-08-04
Tabel 13: Aantal testen en percentage positief per doelgroep in de afgelopen week1.,2020-08-04
Groep Aantal positief Aantal getest Percentage positief,2020-08-04
Kinderen 0-6 jaar 3 394 0.8,2020-08-04
Kinderen 7-12 jaar 17 1510 1.1,2020-08-04
Kinderen 13-18 jaar 68 3586 1.9,2020-08-04
Onderwijs- of kinderopvang personeel 23 1758 1.3,2020-08-04
